date,species,svl (mm),board number,habitat type,air temp (degrees Fahrenheit),relative humidity (percent)
2011-01-03,Eurycea cirrigera,7,22,stream,38.3,0.383
2011-01-10,Plethodon glutinosus,12,43,forest,44.0,0.599
2011-01-10,Plethodon glutinosus,15,16,stream,44.0,0.599
2011-01-10,Eurycea cirrigera,7,22,stream,44.0,0.599
2011-01-17,Plethodon glutinosus,16,7,disturbed,36.1,0.994
2011-01-17,Plethodon glutinosus,11,23,stream,36.1,0.994
2011-01-17,Plethodon glutinosus,16,4,disturbed,36.1,0.994
2011-01-17,Plethodon glutinosus,11,4,disturbed,36.1,0.994
2011-01-17,Plethodon glutinosus,12,8,disturbed,36.1,0.994
2011-01-17,Eurycea cirrigera,6,19,stream,36.1,0.994
2011-01-24,Plethodon glutinosus,14,20,stream,53.8,0.958
2011-01-24,Plethodon glutinosus,15,47,forest,53.8,0.958
2011-01-31,Plethodon glutinosus,10,1,disturbed,36.0,0.758
2011-01-31,Plethodon glutinosus,13,3,disturbed,36.0,0.758
2011-02-07,Eurycea cirrigera,4,15,stream,43.1,0.956
2011-02-07,Eurycea cirrigera,3,19,stream,43.1,0.956
2011-02-07,Plethodon glutinosus,10,12,disturbed,43.1,0.956
2011-02-07,Plestiodon fasciata,9,12,disturbed,43.1,0.956
2011-02-07,Plethodon glutinosus,13,37,forest,43.1,0.956
2011-02-14,Plethodon glutinosus,10,18,stream,59.5,0.24
2011-02-14,Plethodon glutinosus,17,22,stream,59.5,0.24
2011-02-14,Plestiodon fasciata,12,9,disturbed,59.5,0.24
2011-02-14,Eurycea cirrigera,8,17,stream,59.5,0.24
2011-02-21,Plethodon glutinosus,12,18,stream,46.6,0.906
2011-02-21,Plethodon glutinosus,13,8,disturbed,46.6,0.906
2011-02-21,Eurycea cirrigera,7,41,forest,46.6,0.906
2011-02-28,Sceloporus undulatus,17,11,disturbed,51.1,0.69
2011-02-28,Plethodon glutinosus,12,8,disturbed,51.1,0.69
2011-03-07,Eurycea cirrigera,8,37,forest,51.1,0.429
2011-03-07,Plestiodon fasciata,10,5,disturbed,51.1,0.429
2011-03-07,Plethodon glutinosus,13,13,stream,51.1,0.429
2011-03-07,Scincella lateralis,4,37,forest,51.1,0.429
2011-03-07,Plestiodon fasciata,12,5,disturbed,51.1,0.429
2011-03-07,Plestiodon fasciata,7,43,forest,51.1,0.429
2011-03-07,Sceloporus undulatus,13,44,forest,51.1,0.429
2011-03-07,Agkistrodon piscivorus,74,20,stream,51.1,0.429
2011-03-14,Plethodon glutinosus,15,2,disturbed,64.0,0.883
2011-03-14,Eurycea cirrigera,10,48,forest,64.0,0.883
2011-03-14,Plestiodon fasciata,9,38,forest,64.0,0.883
2011-03-14,Sceloporus undulatus,19,39,forest,64.0,0.883
2011-03-14,Anolis carolinensis,21,18,stream,64.0,0.883
2011-03-14,Eurycea cirrigera,4,24,stream,64.0,0.883
2011-03-21,Eurycea cirrigera,9,18,stream,53.4,0.682
2011-03-21,Eurycea cirrigera,6,19,stream,53.4,0.682
2011-03-21,Eurycea cirrigera,7,46,forest,53.4,0.682
2011-03-28,Scincella lateralis,6,48,forest,48.2,0.881
2011-03-28,Agkistrodon piscivorus,122,13,stream,48.2,0.881
2011-03-28,Anaxyrus fowleri,5,18,stream,48.2,0.881
2011-03-28,Anaxyrus fowleri,7,24,stream,48.2,0.881
2011-04-04,Scincella lateralis,4,46,forest,52.1,0.625
2011-04-04,Scincella lateralis,3,40,forest,52.1,0.625
2011-04-04,Plestiodon fasciata,13,48,forest,52.1,0.625
2011-04-04,Anolis carolinensis,18,43,forest,52.1,0.625
2011-04-04,Anolis carolinensis,10,8,disturbed,52.1,0.625
2011-04-11,Storeria occipitomaculata,16,7,disturbed,70.1,0.838
2011-04-11,Anolis carolinensis,21,9,disturbed,70.1,0.838
2011-04-11,Coluber constrictor,75,31,grass,70.1,0.838
2011-04-11,Sceloporus undulatus,16,6,disturbed,70.1,0.838
2011-04-11,Plestiodon fasciata,17,44,forest,70.1,0.838
2011-04-11,Scincella lateralis,14,35,grass,70.1,0.838
2011-04-11,Coluber constrictor,142,33,grass,70.1,0.838
2011-04-18,Coluber constrictor,94,32,grass,53.1,0.418
2011-04-18,Anolis carolinensis,13,5,disturbed,53.1,0.418
2011-04-18,Storeria dekayi,18,3,disturbed,53.1,0.418
2011-04-18,Storeria dekayi,20,39,forest,53.1,0.418
2011-04-25,Agkistrodon piscivorus,67,13,stream,72.1,0.531
2011-04-25,Coluber constrictor,93,33,grass,72.1,0.531
2011-04-25,Anolis carolinensis,21,8,disturbed,72.1,0.531
2011-04-25,Sceloporus undulatus,17,11,disturbed,72.1,0.531
